case_name,solver_config,solver_method,rtol,atol,t,lagrangian_theta1_rad,lagrangian_theta2_rad,hamiltonian_theta1_rad,hamiltonian_theta2_rad,abs_theta1_diff_rad,abs_theta2_diff_rad,max_abs_theta_diff_rad,lagrangian_x2,lagrangian_y2,hamiltonian_x2,hamiltonian_y2,abs_x2_diff,abs_y2_diff,second_bob_position_diff,max_bob_position_abs_diff,lagrangian_energy,lagrangian_energy_abs_drift,lagrangian_energy_signed_drift,lagrangian_energy_relative_drift,hamiltonian_energy,hamiltonian_energy_abs_drift,hamiltonian_energy_signed_drift,hamiltonian_energy_relative_drift
low_energy_small_angles,dop853_strict,DOP853,1e-09,1e-11,0.0,0.08726646259971647,0.12217304763960307,0.08726646259971647,0.12217304763960307,0.0,0.0,0.0,0.20902508615280563,-1.9887408497330674,0.20902508615280563,-1.9887408497330674,0.0,0.0,0.0,0.0,-29.282217724161416,0.0,0.0,0.0,-29.282217724161416,0.0,0.0,0.0
low_energy_small_angles,dop853_strict,DOP853,1e-09,1e-11,0.0050062578222778474,0.0872600145932064,0.12216451023240035,0.0872600145932064,0.12216451023240035,0.0,0.0,0.0,0.20901018890598994,-1.988742452105193,0.20901018890598994,-1.988742452105193,0.0,0.0,0.0,0.0,-29.282217724161416,0.0,0.0,0.0,-29.282217724161416,0.0,0.0,0.0
low_energy_small_angles,dop853_strict,DOP853,1e-09,1e-11,0.010012515644555695,0.08724067166507492,0.1221388989985752,0.08724067166508037,0.12213889899856903,5.4539706084710815e-15,6.175615574477433e-15,6.175615574477433e-15,0.20896549915818582,-1.9887472583235524,0.20896549915818513,-1.9887472583235524,6.938893903907228e-16,0.0,6.938893903907228e-16,5.4262150328554526e-15,-29.28221772416142,3.552713678800501e-15,-3.552713678800501e-15,-1.2132666016853897e-16,-29.282217724161413,3.552713678800501e-15,3.552713678800501e-15,1.2132666016853897e-16
low_energy_small_angles,dop853_strict,DOP853,1e-09,1e-11,0.015018773466833543,0.08720843708920246,0.12209621690157117,0.08720843708920471,0.12209621690156842,2.248201624865942e-15,2.7478019859472624e-15,2.7478019859472624e-15,0.20889102288720365,-1.9887552656945648,0.20889102288720318,-1.988755265694565,4.718447854656915e-16,2.220446049250313e-16,5.214799211354908e-16,2.2343238370581275e-15,-29.282217724161416,0.0,0.0,0.0,-29.282217724161416,0.0,0.0,0.0
low_energy_small_angles,dop853_strict,DOP853,1e-09,1e-11,0.02002503128911139,0.08716331632419917,0.12203646887719516,0.08716331632100283,0.12203646888077656,3.1963459656836335e-12,3.5813990661992534e-12,3.5813990661992534e-12,0.20878677005529483,-1.9887664697306595,0.20878677005566537,-1.9887664697305016,3.70536934468646e-13,1.5787371410169726e-13,4.027675873375191e-13,3.1842167791396037e-12,-29.282217724160226,1.1901590823981678e-12,1.1901590823981678e-12,4.064443115646056e-14,-29.28221772416142,3.552713678800501e-15,-3.552713678800501e-15,-1.2132666016853897e-16
low_energy_small_angles,dop853_strict,DOP853,1e-09,1e-11,0.025031289111389236,0.0871053170029372,0.12195966184403477,0.08710531699587538,0.12195966185196307,7.061809470521041e-12,7.928296907877552e-12,7.928296907877552e-12,0.20865275460957447,-1.9887808641521925,0.20865275461040883,-1.9887808641518423,8.343603585814208e-13,3.5016434196677437e-13,9.048603618001736e-13,7.035039217839767e-12,-29.282217724158787,2.6290081223123707e-12,2.6290081223123707e-12,8.978172852471885e-14,-29.28221772416141,7.105427357601002e-15,7.105427357601002e-15,2.4265332033707795e-16
low_energy_small_angles,dop853_strict,DOP853,1e-09,1e-11,0.030037546933667086,0.08703444893420324,0.12186580469981569,0.08703444892694101,0.12186580470800487,7.2622324820414974e-12,8.189185440876656e-12,8.189185440876656e-12,0.2084889944807667,-1.9887984408909336,0.20848899448166036,-1.9887984408905692,8.936740236720198e-13,3.643751966819764e-13,9.651023492579254e-13,7.234754462182025e-12,-29.282217724158727,2.6894042548519792e-12,2.6894042548519792e-12,9.1844281747584e-14,-29.282217724161388,2.842170943040401e-14,2.842170943040401e-14,9.706132813483118e-16
low_energy_small_angles,dop853_strict,DOP853,1e-09,1e-11,0.03504380475594493,0.08695072410603069,0.12175490831533779,0.08695072410219379,0.1217549083197365,3.836903017528925e-12,4.39870362356487e-12,4.39870362356487e-12,0.20829551158142223,-1.988819190094607,0.20829551158196596,-1.9888191900944059,5.437317263101704e-13,2.0117241206207837e-13,5.79753852571169e-13,3.822414607057567e-12,-29.28221772416003,1.3855583347321954e-12,1.3855583347321954e-12,4.73173974657302e-14,-29.28221772416137,4.618527782440651e-14,4.618527782440651e-14,1.5772465821910067e-15
low_energy_small_angles,dop853_strict,DOP853,1e-09,1e-11,0.04005006257822278,0.08685415668029728,0.1216269855376653,0.08685415668106337,0.12162698553695012,7.660955203547815e-13,7.151779168879102e-13,7.660955203547815e-13,0.20807233180482185,-1.9888431001319717,0.20807233180487517,-1.9888431001319917,5.331846075762314e-14,1.9984014443252818e-14,5.694048727250529e-14,7.63208940490756e-13,-29.2822177241618,3.836930773104541e-13,-3.836930773104541e-13,-1.310327929820221e-14,-29.28221772416137,4.618527782440651e-14,4.618527782440651e-14,1.5772465821910067e-15
low_energy_small_angles,dop853_strict,DOP853,1e-09,1e-11,0.04505632040050063,0.08674476298713676,0.12148205119300855,0.08674476299036217,0.12148205118956308,3.225406053353197e-12,3.445466134621711e-12,3.445466134621711e-12,0.2078194850235886,-1.9888701575988583,0.2078194850233818,-1.9888701575989964,2.0680679391205103e-13,1.3811174426336947e-13,2.486843459320508e-13,3.213276866809167e-12,-29.282217724162773,1.3571366253017914e-12,-1.3571366253017914e-12,-4.634678418438189e-14,-29.282217724161402,1.4210854715202004e-14,1.4210854715202004e-14,4.853066406741559e-16
low_energy_small_angles,dop853_strict,DOP853,1e-09,1e-11,0.05006257822277847,0.0866225615191267,0.1213201220893391,0.0866225615196034,0.12132012208897008,4.767020111984266e-13,3.690103778097864e-13,4.767020111984266e-13,0.207537005088011,-1.9889003473251623,0.20753700508811962,-1.9889003473251656,1.0860756738395594e-13,3.3306690738754696e-15,1.0865862620859975e-13,4.749117765712185e-13,-29.2822177241618,3.836930773104541e-13,-3.836930773104541e-13,-1.310327929820221e-14,-29.282217724161452,3.552713678800501e-14,-3.552713678800501e-14,-1.2132666016853898e-15
